date,city,price
1988-03-01,NC-Charlotte,67.95
1988-03-01,NV-Las Vegas,66.26
1988-03-01,NY-New York,83.48
1988-03-01,OH-Cleveland,57.16
1988-03-01,OR-Portland,41.85
1988-03-01,TX-Dallas,
1988-03-01,WA-Seattle,
1988-03-01,Composite-10,71.12
1988-03-01,Composite-20,
1988-03-01,National-US,69.33
1988-04-01,AZ-Phoenix,
1988-04-01,CA-Los Angeles,70.83
1988-04-01,CA-San Diego,61.19
1988-04-01,CA-San Francisco,54.19
1988-04-01,CO-Denver,48.58
1988-04-01,DC-Washington,77.02
1988-04-01,FL-Miami,72.47
1988-04-01,FL-Tampa,79.44
1988-04-01,GA-Atlanta,
1988-04-01,IL-Chicago,65.22
1988-04-01,MA-Boston,73.78
1988-04-01,MI-Detroit,
1988-04-01,MN-Minneapolis,
1988-04-01,NC-Charlotte,67.79
1988-04-01,NV-Las Vegas,67.11
1988-04-01,NY-New York,83.71
1988-04-01,OH-Cleveland,57.66
1988-04-01,OR-Portland,42.1
1988-04-01,TX-Dallas,
1988-04-01,WA-Seattle,
1988-04-01,Composite-10,71.65
1988-04-01,Composite-20,
1988-04-01,National-US,69.8
1988-05-01,AZ-Phoenix,
1988-05-01,CA-Los Angeles,72.03
1988-05-01,CA-San Diego,61.68
1988-05-01,CA-San Francisco,56.09
1988-05-01,CO-Denver,48.22
1988-05-01,DC-Washington,78.19
1988-05-01,FL-Miami,72.76
1988-05-01,FL-Tampa,79.88
1988-05-01,GA-Atlanta,
1988-05-01,IL-Chicago,65.53
1988-05-01,MA-Boston,74.46
1988-05-01,MI-Detroit,
1988-05-01,MN-Minneapolis,
1988-05-01,NC-Charlotte,67.92
1988-05-01,NV-Las Vegas,67.51
1988-05-01,NY-New York,84.23
1988-05-01,OH-Cleveland,58.25
1988-05-01,OR-Portland,42.58
1988-05-01,TX-Dallas,
1988-05-01,WA-Seattle,
1988-05-01,Composite-10,72.48
1988-05-01,Composite-20,
1988-05-01,National-US,70.42
1988-06-01,AZ-Phoenix,
1988-06-01,CA-Los Angeles,74.35
1988-06-01,CA-San Diego,61.54
1988-06-01,CA-San Francisco,58.22
1988-06-01,CO-Denver,48.27
1988-06-01,DC-Washington,79.56
1988-06-01,FL-Miami,73.55
1988-06-01,FL-Tampa,80.25
1988-06-01,GA-Atlanta,
1988-06-01,IL-Chicago,66.85
1988-06-01,MA-Boston,75.07
1988-06-01,MI-Detroit,
1988-06-01,MN-Minneapolis,
1988-06-01,NC-Charlotte,68.14
1988-06-01,NV-Las Vegas,67.18
1988-06-01,NY-New York,84.59
1988-06-01,OH-Cleveland,59.23
1988-06-01,OR-Portland,42.75
1988-06-01,TX-Dallas,
1988-06-01,WA-Seattle,
1988-06-01,Composite-10,73.63
1988-06-01,Composite-20,
1988-06-01,National-US,71.08
1988-07-01,AZ-Phoenix,
1988-07-01,CA-Los Angeles,77.22
1988-07-01,CA-San Diego,64.81
1988-07-01,CA-San Francisco,58.7
1988-07-01,CO-Denver,48.33
1988-07-01,DC-Washington,81.25
1988-07-01,FL-Miami,74.13
1988-07-01,FL-Tampa,80.74
1988-07-01,GA-Atlanta,
1988-07-01,IL-Chicago,67.07
1988-07-01,MA-Boston,75.53
1988-07-01,MI-Detroit,
1988-07-01,MN-Minneapolis,
1988-07-01,NC-Charlotte,68.64
1988-07-01,NV-Las Vegas,67.36
1988-07-01,NY-New York,85.02
1988-07-01,OH-Cleveland,59.7
1988-07-01,OR-Portland,43.09
1988-07-01,TX-Dallas,
1988-07-01,WA-Seattle,
1988-07-01,Composite-10,74.81
1988-07-01,Composite-20,
1988-07-01,National-US,71.69
1988-08-01,AZ-Phoenix,
1988-08-01,CA-Los Angeles,79.27
1988-08-01,CA-San Diego,65.64
1988-08-01,CA-San Francisco,59.0
1988-08-01,CO-Denver,48.52
1988-08-01,DC-Washington,82.35
1988-08-01,FL-Miami,75.02
1988-08-01,FL-Tampa,80.95
1988-08-01,GA-Atlanta,
1988-08-01,IL-Chicago,68.66
1988-08-01,MA-Boston,75.47
1988-08-01,MI-Detroit,
1988-08-01,MN-Minneapolis,
1988-08-01,NC-Charlotte,69.67
1988-08-01,NV-Las Vegas,68.11
1988-08-01,NY-New York,85.33
1988-08-01,OH-Cleveland,60.32
1988-08-01,OR-Portland,43.54
1988-08-01,TX-Dallas,
